12-18 15:42:51.808 INFO  [main] [com.fagp.petrel.cms.WebApplication] : The following profiles are active: prod
12-18 15:42:52.657 WARN  [main] [o.springframework.boot.actuate.endpoint.EndpointId] : Endpoint ID 'nacos-discovery' contains invalid characters, please migrate to a valid format.
12-18 15:42:52.719 WARN  [main] [org.mybatis.spring.mapper.ClassPathMapperScanner] : No MyBatis mapper was found in '[com.fagp.petrel.cms]' package. Please check your configuration.
12-18 15:42:52.908 INFO  [main] [o.s.d.r.config.RepositoryConfigurationDelegate] : Multiple Spring Data modules found, entering strict repository configuration mode!
12-18 15:42:52.908 INFO  [main] [o.s.d.r.config.RepositoryConfigurationDelegate] : Bootstrapping Spring Data Redis repositories in DEFAULT mode.
12-18 15:42:52.939 INFO  [main] [o.s.d.r.config.RepositoryConfigurationDelegate] : Finished Spring Data repository scanning in 11ms. Found 0 Redis repository interfaces.
12-18 15:42:53.019 WARN  [main] [o.springframework.boot.actuate.endpoint.EndpointId] : Endpoint ID 'service-registry' contains invalid characters, please migrate to a valid format.
12-18 15:42:53.238 INFO  [main] [o.springframework.cloud.context.scope.GenericScope] : BeanFactory id=1651b9db-0df7-3d03-b554-179b03878a34
12-18 15:42:53.599 INFO  [main] [o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker] : Bean 'com.fagp.petrel.cms.provide.RegisterFeignService' of type [org.springframework.cloud.openfeign.FeignClientFactoryBean] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
12-18 15:42:53.883 INFO  [main] [o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker] : Bean 'spring.datasource.dynamic-com.baomidou.dynamic.datasource.spring.boot.autoconfigure.DynamicDataSourceProperties' of type [com.baomidou.dynamic.datasource.spring.boot.autoconfigure.DynamicDataSourceProperties] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
12-18 15:42:53.883 INFO  [main] [o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker] : Bean 'com.baomidou.dynamic.datasource.spring.boot.autoconfigure.DynamicDataSourceAutoConfiguration' of type [com.baomidou.dynamic.datasource.spring.boot.autoconfigure.DynamicDataSourceAutoConfiguration$$EnhancerBySpringCGLIB$$82ddcedf] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
12-18 15:42:53.898 INFO  [main] [o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker] : Bean 'dsProcessor' of type [com.baomidou.dynamic.datasource.processor.DsHeaderProcessor] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
12-18 15:42:53.929 INFO  [main] [o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker] : Bean 'org.springframework.security.config.annotation.configuration.ObjectPostProcessorConfiguration' of type [org.springframework.security.config.annotation.configuration.ObjectPostProcessorConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
12-18 15:42:53.929 INFO  [main] [o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker] : Bean 'objectPostProcessor' of type [org.springframework.security.config.annotation.configuration.AutowireBeanFactoryObjectPostProcessor] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
12-18 15:42:53.929 INFO  [main] [o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker] : Bean 'org.springframework.security.access.expression.method.DefaultMethodSecurityExpressionHandler@3cfdd820' of type [org.springframework.security.access.expression.method.DefaultMethodSecurityExpressionHandler] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
12-18 15:42:53.945 INFO  [main] [o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker] : Bean 'org.springframework.security.config.annotation.method.configuration.GlobalMethodSecurityConfiguration' of type [org.springframework.security.config.annotation.method.configuration.GlobalMethodSecurityConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
12-18 15:42:53.945 INFO  [main] [o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker] : Bean 'org.springframework.security.config.annotation.method.configuration.Jsr250MetadataSourceConfiguration' of type [org.springframework.security.config.annotation.method.configuration.Jsr250MetadataSourceConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
12-18 15:42:53.961 INFO  [main] [o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker] : Bean 'jsr250MethodSecurityMetadataSource' of type [org.springframework.security.access.annotation.Jsr250MethodSecurityMetadataSource] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
12-18 15:42:53.961 INFO  [main] [o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker] : Bean 'methodSecurityMetadataSource' of type [org.springframework.security.access.method.DelegatingMethodSecurityMetadataSource] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
12-18 15:42:54.422 INFO  [main] [o.s.boot.web.embedded.tomcat.TomcatWebServer] : Tomcat initialized with port(s): 7071 (http)
12-18 15:42:54.437 INFO  [main] [org.apache.catalina.core.StandardService] : Starting service [Tomcat]
12-18 15:42:54.437 INFO  [main] [org.apache.catalina.core.StandardEngine] : Starting Servlet engine: [Apache Tomcat/9.0.31]
12-18 15:42:57.873 INFO  [main] [org.apache.jasper.servlet.TldScanner] : At least one JAR was scanned for TLDs yet contained no TLDs. Enable debug logging for this logger for a complete list of JARs that were scanned but no TLDs were found in them. Skipping unneeded JARs during scanning can improve startup time and JSP compilation time.
12-18 15:42:58.219 INFO  [main] [o.a.c.core.ContainerBase.[Tomcat].[localhost].[/]] : Initializing Spring embedded WebApplicationContext
12-18 15:42:58.219 INFO  [main] [org.springframework.web.context.ContextLoader] : Root WebApplicationContext: initialization completed in 6379 ms
12-18 15:42:59.728 INFO  [main] [com.alibaba.druid.pool.DruidDataSource] : {dataSource-1,petrel_core} inited
12-18 15:42:59.775 INFO  [main] [com.alibaba.druid.pool.DruidDataSource] : {dataSource-2,petrel_record} inited
12-18 15:42:59.775 INFO  [main] [c.b.dynamic.datasource.DynamicRoutingDataSource] : dynamic-datasource - load a datasource named [petrel_record] success
12-18 15:42:59.775 INFO  [main] [c.b.dynamic.datasource.DynamicRoutingDataSource] : dynamic-datasource - load a datasource named [petrel_core] success
12-18 15:42:59.775 INFO  [main] [c.b.dynamic.datasource.DynamicRoutingDataSource] : dynamic-datasource initial loaded [2] datasource,primary datasource named [petrel_core]
12-18 15:43:00.601 INFO  [main] [o.s.scheduling.concurrent.ThreadPoolTaskScheduler] : Initializing ExecutorService 'taskScheduler'
12-18 15:43:00.817 INFO  [main] [c.a.n.s.c.e.LoggingNacosConfigMetadataEventListener] : Nacos Config Metadata : dataId='petrel-strategy-config.yaml', groupId='DEFAULT_GROUP', beanName='jackportConfig', bean='JackportConfig(pushTime=6)', beanType='class com.fagp.petrel.cms.sdp.config.JackportConfig', annotatedElement='class com.fagp.petrel.cms.sdp.config.JackportConfig', xmlResource='null', nacosProperties='{password=nacos, serverAddr=127.0.0.1:6878, encode=UTF-8, username=nacos}', nacosPropertiesAttributes='{accessKey=${nacos.access-key:}, clusterName=${nacos.cluster-name:}, configLongPollTimeout=${nacos.configLongPollTimeout:}, configRetryTime=${nacos.configRetryTime:}, contextPath=${nacos.context-path:}, enableRemoteSyncConfig=${nacos.enableRemoteSyncConfig:}, encode=${nacos.encode:UTF-8}, endpoint=${nacos.endpoint:}, maxRetry=${nacos.maxRetry:}, namespace=${nacos.namespace:}, password=${nacos.password:}, secretKey=${nacos.secret-key:}, serverAddr=${nacos.server-addr:}, username=${nacos.username:}}', source='@com.alibaba.nacos.api.config.annotation.NacosConfigurationProperties(autoRefreshed=true, dataId=petrel-strategy-config.yaml, exceptionIfInvalid=true, groupId=DEFAULT_GROUP, ignoreInvalidFields=false, ignoreNestedProperties=false, ignoreUnknownFields=true, prefix=, properties=@com.alibaba.nacos.api.annotation.NacosProperties(accessKey=${nacos.access-key:}, clusterName=${nacos.cluster-name:}, configLongPollTimeout=${nacos.configLongPollTimeout:}, configRetryTime=${nacos.configRetryTime:}, contextPath=${nacos.context-path:}, enableRemoteSyncConfig=${nacos.enableRemoteSyncConfig:}, encode=${nacos.encode:UTF-8}, endpoint=${nacos.endpoint:}, maxRetry=${nacos.maxRetry:}, namespace=${nacos.namespace:}, password=${nacos.password:}, secretKey=${nacos.secret-key:}, serverAddr=${nacos.server-addr:}, username=${nacos.username:}), type=YAML, yaml=false)', timestamp='1671349380813'
12-18 15:43:02.912 INFO  [main] [o.s.security.web.DefaultSecurityFilterChain] : Creating filter chain: any request, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@9ec531, org.springframework.security.web.context.SecurityContextPersistenceFilter@71154f21, org.springframework.security.web.header.HeaderWriterFilter@1e7f2e0f, org.springframework.security.web.authentication.logout.LogoutFilter@347bdeef, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@6974a715, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@2516fc68, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@6bfdb014, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@40147317, org.springframework.security.web.session.SessionManagementFilter@78d39a69, org.springframework.security.web.access.ExceptionTranslationFilter@410e94e, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@3163987e]
12-18 15:43:02.975 WARN  [main] [com.netflix.config.sources.URLConfigurationSource] : No URLs will be polled as dynamic configuration sources.
12-18 15:43:02.975 INFO  [main] [com.netflix.config.sources.URLConfigurationSource] : To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
12-18 15:43:02.975 WARN  [main] [com.netflix.config.sources.URLConfigurationSource] : No URLs will be polled as dynamic configuration sources.
12-18 15:43:02.975 INFO  [main] [com.netflix.config.sources.URLConfigurationSource] : To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
12-18 15:43:03.383 INFO  [main] [o.s.b.a.web.servlet.WelcomePageHandlerMapping] : Adding welcome page: ServletContext resource [/index.html]
12-18 15:43:04.201 INFO  [main] [o.s.b.actuate.endpoint.web.EndpointLinksResolver] : Exposing 18 endpoint(s) beneath base path '/actuator'
12-18 15:43:04.358 INFO  [main] [o.s.boot.web.embedded.tomcat.TomcatWebServer] : Tomcat started on port(s): 7071 (http) with context path ''
12-18 15:43:04.389 INFO  [main] [c.a.cloud.nacos.registry.NacosServiceRegistry] : nacos registry, DEFAULT_GROUP petrel-cms-web 172.19.48.88:7071 register finished
12-18 15:43:04.424 INFO  [main] [com.fagp.petrel.cms.WebApplication] : Started WebApplication in 13.695 seconds (JVM running for 14.189)
12-18 15:43:04.424 INFO  [main] [com.fagp.petrel.cms.sdp.quarze.ComputFakeJackpot] : start jackpot-comput future , fixed second : 6
12-18 15:43:06.126 INFO  [scheduling-1] [io.lettuce.core.EpollProvider] : Starting without optional epoll library
12-18 15:43:06.126 INFO  [scheduling-1] [io.lettuce.core.KqueueProvider] : Starting without optional kqueue library
12-18 23:22:38.438 INFO  [http-nio-7071-exec-1] [o.a.c.core.ContainerBase.[Tomcat].[localhost].[/]] : Initializing Spring DispatcherServlet 'dispatcherServlet'
12-18 23:22:38.438 INFO  [http-nio-7071-exec-1] [org.springframework.web.servlet.DispatcherServlet] : Initializing Servlet 'dispatcherServlet'
12-18 23:22:40.217 INFO  [http-nio-7071-exec-1] [org.springframework.web.servlet.DispatcherServlet] : Completed initialization in 1779 ms
