12-18 15:42:33.239 WARN  [background-preinit] [o.s.h.converter.json.Jackson2ObjectMapperBuilder] : For Jackson Kotlin classes support please add "com.fasterxml.jackson.module:jackson-module-kotlin" to the classpath
12-18 15:42:33.616 INFO  [main] [com.petrel.chess.ChessApplication] : The following profiles are active: prod
12-18 15:42:34.135 WARN  [main] [o.springframework.boot.actuate.endpoint.EndpointId] : Endpoint ID 'nacos-discovery' contains invalid characters, please migrate to a valid format.
12-18 15:42:34.323 INFO  [main] [o.s.d.r.config.RepositoryConfigurationDelegate] : Multiple Spring Data modules found, entering strict repository configuration mode!
12-18 15:42:34.323 INFO  [main] [o.s.d.r.config.RepositoryConfigurationDelegate] : Bootstrapping Spring Data Redis repositories in DEFAULT mode.
12-18 15:42:34.355 INFO  [main] [o.s.d.r.config.RepositoryConfigurationDelegate] : Finished Spring Data repository scanning in 20ms. Found 0 Redis repository interfaces.
12-18 15:42:34.386 WARN  [main] [o.springframework.boot.actuate.endpoint.EndpointId] : Endpoint ID 'service-registry' contains invalid characters, please migrate to a valid format.
12-18 15:42:34.543 INFO  [main] [o.springframework.cloud.context.scope.GenericScope] : BeanFactory id=f39bf066-d299-3980-a1a4-4c68ad7be296
12-18 15:42:34.713 INFO  [main] [o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker] : Bean 'com.petrel.chess.core.common.provide.GameFeignService' of type [org.springframework.cloud.openfeign.FeignClientFactoryBean] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
12-18 15:42:34.713 INFO  [main] [o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker] : Bean 'com.petrel.chess.core.common.provide.ServerRegisterFeignService' of type [org.springframework.cloud.openfeign.FeignClientFactoryBean] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
12-18 15:42:35.968 INFO  [main] [c.a.n.s.c.e.LoggingNacosConfigMetadataEventListener] : Nacos Config Metadata : dataId='petrel-game-config.yaml', groupId='DEFAULT_GROUP', beanName='gameConfig', bean='GameConfig(fishControl=0)', beanType='class com.petrel.chess.core.common.config.GameConfig', annotatedElement='class com.petrel.chess.core.common.config.GameConfig', xmlResource='null', nacosProperties='{password=nacos, serverAddr=127.0.0.1:6878, encode=UTF-8, username=nacos}', nacosPropertiesAttributes='{accessKey=${nacos.access-key:}, clusterName=${nacos.cluster-name:}, configLongPollTimeout=${nacos.configLongPollTimeout:}, configRetryTime=${nacos.configRetryTime:}, contextPath=${nacos.context-path:}, enableRemoteSyncConfig=${nacos.enableRemoteSyncConfig:}, encode=${nacos.encode:UTF-8}, endpoint=${nacos.endpoint:}, maxRetry=${nacos.maxRetry:}, namespace=${nacos.namespace:}, password=${nacos.password:}, secretKey=${nacos.secret-key:}, serverAddr=${nacos.server-addr:}, username=${nacos.username:}}', source='@com.alibaba.nacos.api.config.annotation.NacosConfigurationProperties(autoRefreshed=true, dataId=petrel-game-config.yaml, exceptionIfInvalid=true, groupId=DEFAULT_GROUP, ignoreInvalidFields=false, ignoreNestedProperties=false, ignoreUnknownFields=true, prefix=, properties=@com.alibaba.nacos.api.annotation.NacosProperties(accessKey=${nacos.access-key:}, clusterName=${nacos.cluster-name:}, configLongPollTimeout=${nacos.configLongPollTimeout:}, configRetryTime=${nacos.configRetryTime:}, contextPath=${nacos.context-path:}, enableRemoteSyncConfig=${nacos.enableRemoteSyncConfig:}, encode=${nacos.encode:UTF-8}, endpoint=${nacos.endpoint:}, maxRetry=${nacos.maxRetry:}, namespace=${nacos.namespace:}, password=${nacos.password:}, secretKey=${nacos.secret-key:}, serverAddr=${nacos.server-addr:}, username=${nacos.username:}), type=YAML, yaml=false)', timestamp='1671349355965'
