12-18 15:42:09.482 WARN  [background-preinit] [o.s.h.converter.json.Jackson2ObjectMapperBuilder] : For Jackson Kotlin classes support please add "com.fasterxml.jackson.module:jackson-module-kotlin" to the classpath
12-18 15:42:09.823 INFO  [main] [com.petrel.game.GameApplication] : The following profiles are active: prod
12-18 15:42:10.498 WARN  [main] [o.springframework.boot.actuate.endpoint.EndpointId] : Endpoint ID 'nacos-discovery' contains invalid characters, please migrate to a valid format.
12-18 15:42:10.702 INFO  [main] [o.s.d.r.config.RepositoryConfigurationDelegate] : Multiple Spring Data modules found, entering strict repository configuration mode!
12-18 15:42:10.718 INFO  [main] [o.s.d.r.config.RepositoryConfigurationDelegate] : Bootstrapping Spring Data Redis repositories in DEFAULT mode.
12-18 15:42:10.734 INFO  [main] [o.s.d.r.config.RepositoryConfigurationDelegate] : Finished Spring Data repository scanning in 12ms. Found 0 Redis repository interfaces.
12-18 15:42:10.813 WARN  [main] [o.springframework.boot.actuate.endpoint.EndpointId] : Endpoint ID 'service-registry' contains invalid characters, please migrate to a valid format.
12-18 15:42:10.985 INFO  [main] [o.springframework.cloud.context.scope.GenericScope] : BeanFactory id=0d7b41e9-625a-3b68-91bc-707da570fce7
12-18 15:42:11.582 INFO  [main] [o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker] : Bean 'spring.datasource.dynamic-com.baomidou.dynamic.datasource.spring.boot.autoconfigure.DynamicDataSourceProperties' of type [com.baomidou.dynamic.datasource.spring.boot.autoconfigure.DynamicDataSourceProperties] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
12-18 15:42:11.582 INFO  [main] [o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker] : Bean 'com.baomidou.dynamic.datasource.spring.boot.autoconfigure.DynamicDataSourceAutoConfiguration' of type [com.baomidou.dynamic.datasource.spring.boot.autoconfigure.DynamicDataSourceAutoConfiguration$$EnhancerBySpringCGLIB$$8f65f977] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
12-18 15:42:11.598 INFO  [main] [o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker] : Bean 'dsProcessor' of type [com.baomidou.dynamic.datasource.processor.DsHeaderProcessor] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
12-18 15:42:11.975 INFO  [main] [o.s.boot.web.embedded.tomcat.TomcatWebServer] : Tomcat initialized with port(s): 8752 (http)
12-18 15:42:11.991 INFO  [main] [org.apache.catalina.core.StandardService] : Starting service [Tomcat]
12-18 15:42:11.991 INFO  [main] [org.apache.catalina.core.StandardEngine] : Starting Servlet engine: [Apache Tomcat/9.0.31]
12-18 15:42:12.054 INFO  [main] [o.a.c.core.ContainerBase.[Tomcat].[localhost].[/]] : Initializing Spring embedded WebApplicationContext
12-18 15:42:12.054 INFO  [main] [org.springframework.web.context.ContextLoader] : Root WebApplicationContext: initialization completed in 2216 ms
12-18 15:42:13.280 INFO  [main] [com.alibaba.druid.pool.DruidDataSource] : {dataSource-1,petrel_core} inited
12-18 15:42:13.296 INFO  [main] [com.alibaba.druid.pool.DruidDataSource] : {dataSource-2,petrel_record} inited
12-18 15:42:13.296 INFO  [main] [c.b.dynamic.datasource.DynamicRoutingDataSource] : dynamic-datasource - load a datasource named [petrel_record] success
12-18 15:42:13.296 INFO  [main] [c.b.dynamic.datasource.DynamicRoutingDataSource] : dynamic-datasource - load a datasource named [petrel_core] success
12-18 15:42:13.296 INFO  [main] [c.b.dynamic.datasource.DynamicRoutingDataSource] : dynamic-datasource initial loaded [2] datasource,primary datasource named [petrel_core]
