12-18 15:41:55.410 WARN  [background-preinit] [o.s.h.converter.json.Jackson2ObjectMapperBuilder] : For Jackson Kotlin classes support please add "com.fasterxml.jackson.module:jackson-module-kotlin" to the classpath
12-18 15:41:55.828 INFO  [main] [com.petrel.register.RegisterApplication] : The following profiles are active: prod
12-18 15:41:56.535 WARN  [main] [o.springframework.boot.actuate.endpoint.EndpointId] : Endpoint ID 'nacos-discovery' contains invalid characters, please migrate to a valid format.
12-18 15:41:56.739 INFO  [main] [o.s.d.r.config.RepositoryConfigurationDelegate] : Multiple Spring Data modules found, entering strict repository configuration mode!
12-18 15:41:56.755 INFO  [main] [o.s.d.r.config.RepositoryConfigurationDelegate] : Bootstrapping Spring Data Redis repositories in DEFAULT mode.
12-18 15:41:56.786 INFO  [main] [o.s.d.r.config.RepositoryConfigurationDelegate] : Finished Spring Data repository scanning in 12ms. Found 0 Redis repository interfaces.
12-18 15:41:56.865 WARN  [main] [o.springframework.boot.actuate.endpoint.EndpointId] : Endpoint ID 'service-registry' contains invalid characters, please migrate to a valid format.
12-18 15:41:57.038 INFO  [main] [o.springframework.cloud.context.scope.GenericScope] : BeanFactory id=695927ae-b02e-3639-963f-4b015b0c7a51
12-18 15:41:57.620 INFO  [main] [o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker] : Bean 'spring.datasource.dynamic-com.baomidou.dynamic.datasource.spring.boot.autoconfigure.DynamicDataSourceProperties' of type [com.baomidou.dynamic.datasource.spring.boot.autoconfigure.DynamicDataSourceProperties] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
12-18 15:41:57.635 INFO  [main] [o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker] : Bean 'com.baomidou.dynamic.datasource.spring.boot.autoconfigure.DynamicDataSourceAutoConfiguration' of type [com.baomidou.dynamic.datasource.spring.boot.autoconfigure.DynamicDataSourceAutoConfiguration$$EnhancerBySpringCGLIB$$bc9ba9d] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
12-18 15:41:57.651 INFO  [main] [o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker] : Bean 'dsProcessor' of type [com.baomidou.dynamic.datasource.processor.DsHeaderProcessor] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
12-18 15:41:58.013 INFO  [main] [o.s.boot.web.embedded.tomcat.TomcatWebServer] : Tomcat initialized with port(s): 7180 (http)
12-18 15:41:58.028 INFO  [main] [org.apache.catalina.core.StandardService] : Starting service [Tomcat]
12-18 15:41:58.028 INFO  [main] [org.apache.catalina.core.StandardEngine] : Starting Servlet engine: [Apache Tomcat/9.0.31]
12-18 15:41:58.091 INFO  [main] [o.a.c.core.ContainerBase.[Tomcat].[localhost].[/]] : Initializing Spring embedded WebApplicationContext
