12-18 15:41:26.228 WARN  [background-preinit] [o.s.h.converter.json.Jackson2ObjectMapperBuilder] : For Jackson Kotlin classes support please add "com.fasterxml.jackson.module:jackson-module-kotlin" to the classpath
12-18 15:41:26.652 INFO  [main] [com.petrel.user.UserApplication] : The following profiles are active: prod
12-18 15:41:27.407 WARN  [main] [o.springframework.boot.actuate.endpoint.EndpointId] : Endpoint ID 'nacos-discovery' contains invalid characters, please migrate to a valid format.
12-18 15:41:27.771 INFO  [main] [o.s.d.r.config.RepositoryConfigurationDelegate] : Multiple Spring Data modules found, entering strict repository configuration mode!
12-18 15:41:27.775 INFO  [main] [o.s.d.r.config.RepositoryConfigurationDelegate] : Bootstrapping Spring Data Redis repositories in DEFAULT mode.
12-18 15:41:27.815 INFO  [main] [o.s.d.r.config.RepositoryConfigurationDelegate] : Finished Spring Data repository scanning in 17ms. Found 0 Redis repository interfaces.
12-18 15:41:27.897 WARN  [main] [o.springframework.boot.actuate.endpoint.EndpointId] : Endpoint ID 'service-registry' contains invalid characters, please migrate to a valid format.
12-18 15:41:28.145 INFO  [main] [o.springframework.cloud.context.scope.GenericScope] : BeanFactory id=aa99b2d7-48be-345f-b6a2-ea91f13dc524
12-18 15:41:28.783 INFO  [main] [o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker] : Bean 'spring.datasource.dynamic-com.baomidou.dynamic.datasource.spring.boot.autoconfigure.DynamicDataSourceProperties' of type [com.baomidou.dynamic.datasource.spring.boot.autoconfigure.DynamicDataSourceProperties] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
12-18 15:41:28.783 INFO  [main] [o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker] : Bean 'com.baomidou.dynamic.datasource.spring.boot.autoconfigure.DynamicDataSourceAutoConfiguration' of type [com.baomidou.dynamic.datasource.spring.boot.autoconfigure.DynamicDataSourceAutoConfiguration$$EnhancerBySpringCGLIB$$388373b7] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
12-18 15:41:28.798 INFO  [main] [o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker] : Bean 'dsProcessor' of type [com.baomidou.dynamic.datasource.processor.DsHeaderProcessor] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
12-18 15:41:29.191 INFO  [main] [o.s.boot.web.embedded.tomcat.TomcatWebServer] : Tomcat initialized with port(s): 8719 (http)
12-18 15:41:29.208 INFO  [main] [org.apache.catalina.core.StandardService] : Starting service [Tomcat]
12-18 15:41:29.208 INFO  [main] [org.apache.catalina.core.StandardEngine] : Starting Servlet engine: [Apache Tomcat/9.0.31]
12-18 15:41:29.270 INFO  [main] [o.a.c.core.ContainerBase.[Tomcat].[localhost].[/]] : Initializing Spring embedded WebApplicationContext
12-18 15:41:29.270 INFO  [main] [org.springframework.web.context.ContextLoader] : Root WebApplicationContext: initialization completed in 2586 ms
12-18 15:41:32.572 INFO  [main] [com.alibaba.druid.pool.DruidDataSource] : {dataSource-1,petrel_core} inited
12-18 15:41:32.572 INFO  [main] [com.alibaba.druid.pool.DruidDataSource] : {dataSource-2,petrel_record} inited
12-18 15:41:32.572 INFO  [main] [c.b.dynamic.datasource.DynamicRoutingDataSource] : dynamic-datasource - load a datasource named [petrel_record] success
12-18 15:41:32.572 INFO  [main] [c.b.dynamic.datasource.DynamicRoutingDataSource] : dynamic-datasource - load a datasource named [petrel_core] success
12-18 15:41:32.572 INFO  [main] [c.b.dynamic.datasource.DynamicRoutingDataSource] : dynamic-datasource initial loaded [2] datasource,primary datasource named [petrel_core]
12-18 15:41:47.502 WARN  [background-preinit] [o.s.h.converter.json.Jackson2ObjectMapperBuilder] : For Jackson Kotlin classes support please add "com.fasterxml.jackson.module:jackson-module-kotlin" to the classpath
12-18 15:41:47.864 INFO  [main] [com.petrel.user.UserApplication] : The following profiles are active: prod
12-18 15:41:48.523 WARN  [main] [o.springframework.boot.actuate.endpoint.EndpointId] : Endpoint ID 'nacos-discovery' contains invalid characters, please migrate to a valid format.
12-18 15:41:48.743 INFO  [main] [o.s.d.r.config.RepositoryConfigurationDelegate] : Multiple Spring Data modules found, entering strict repository configuration mode!
12-18 15:41:48.743 INFO  [main] [o.s.d.r.config.RepositoryConfigurationDelegate] : Bootstrapping Spring Data Redis repositories in DEFAULT mode.
12-18 15:41:48.775 INFO  [main] [o.s.d.r.config.RepositoryConfigurationDelegate] : Finished Spring Data repository scanning in 12ms. Found 0 Redis repository interfaces.
12-18 15:41:48.854 WARN  [main] [o.springframework.boot.actuate.endpoint.EndpointId] : Endpoint ID 'service-registry' contains invalid characters, please migrate to a valid format.
12-18 15:41:49.042 INFO  [main] [o.springframework.cloud.context.scope.GenericScope] : BeanFactory id=aa99b2d7-48be-345f-b6a2-ea91f13dc524
12-18 15:41:49.639 INFO  [main] [o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker] : Bean 'spring.datasource.dynamic-com.baomidou.dynamic.datasource.spring.boot.autoconfigure.DynamicDataSourceProperties' of type [com.baomidou.dynamic.datasource.spring.boot.autoconfigure.DynamicDataSourceProperties] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
12-18 15:41:49.647 INFO  [main] [o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker] : Bean 'com.baomidou.dynamic.datasource.spring.boot.autoconfigure.DynamicDataSourceAutoConfiguration' of type [com.baomidou.dynamic.datasource.spring.boot.autoconfigure.DynamicDataSourceAutoConfiguration$$EnhancerBySpringCGLIB$$fa5f1f9] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
12-18 15:41:49.663 INFO  [main] [o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker] : Bean 'dsProcessor' of type [com.baomidou.dynamic.datasource.processor.DsHeaderProcessor] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
12-18 15:41:50.013 INFO  [main] [o.s.boot.web.embedded.tomcat.TomcatWebServer] : Tomcat initialized with port(s): 8719 (http)
12-18 15:41:50.029 INFO  [main] [org.apache.catalina.core.StandardService] : Starting service [Tomcat]
12-18 15:41:50.029 INFO  [main] [org.apache.catalina.core.StandardEngine] : Starting Servlet engine: [Apache Tomcat/9.0.31]
